person,title,rating,review,review_date
Helgahalld,Stunning view,50,There is something special about this island. Loved the stay there. A trip to the Monastery is well worth it. The view over Patmos is stunning and the museum is a nice place to visit with a interesting Saga.,25-Apr-16
HoneyPieLinda,Beautiful Monastery,50,Beautiful location up on the hillside. Lots to see. The monastery itself was something very special and gave me goose bumps going round the various areas.,23-Sep-19
houstontravelingfool,See the cave of St. John too,40,"We took the city bus to the monastery, walked around and then walked down the seemingly million-rock pathway to the cave of St. John. Be careful if you decide to walk. It's a long way and very uneven but we were glad we did. The cave was larger than expected and there are a lot of (steep) steps to climb getting there. We took a taxi back to the port and there seemed to be many available once you leave the cave. Definitely a worthwhile trek.",11-Oct-15
Hyphen1954,Old world religion,50,A great experience and must visit place. Just incredible to see the extensive collection of religious artifacts not to mention the building and altars. They are exquisite. Allow a couple of hours to take it all in. One of the key reasons to visit Patmos.,22-Mar-19
IAN B,A Magical Place,50,"A magical place, definitely a must-see on the island. For the view, the unique atmosphere, the mosaics, and the sense of history",8-Oct-14
Ian K,A truly magnificent place,50,What a spectacular setting - right on topof a high hill on this special island. The chapel alone is worth the visit - so ornate. The refectory has a huge dining table. The bells are wonderful. Loved it!,28-Oct-19
Ignotus,Place(s) of Faith,50,"Patmos is associated with St John, author or the Gospel and Epistles that bear his name and also of the Book of Revelation. One need not be a believer to appreciate the Monastery - and the Cave where tradition has it he wrote Revelation. Of the two, the Monastery is more profound. High on a hill, it includes an ancient chapel decorated in the Orthodox style, with some of the oldest frescoes of their type int he world. There is also a fine museum containing treasures of the Monastery. As with many sites in Greece, it's best to read up before visiting to understand the historic significance of what you're seeing.",10-Nov-16
InaLyudmilova,Medieval monastery,50,"Back in time, you are feeling yourself like back in a times of Templiers. Amazing building on the top of the hill , where you can see the sea.",16-May-16
indianadoug,A must see for Patmos,50,Much of the history of Island is here as well as honoring the Apostle John's time as prisoner on Isand and the writing of Revelation of Jesus Christ - N.T. Book.,8-Aug-16
inyongh743,"An awesome fortress monastery, still functioning",40,"It really looks more like a fortress than a monastery from below the hill, but inside, you can see some wonderful frescoes and see that it's still very much a functioning monastery. This also means that you're not allowed to take photos in any indoor spaces, including the surprisingly extensive museum they have there. The views you get from the top all they way down the rest of Patmos and the sea are also wonderful. As always, make sure you are dressed modestly. There is a bus that takes you all the way up to Chora from Skala, but it still involves a bit of a walk. If you don't mind a bit more exercise and sweating profusely, you can also walk up from the Cave monastery, which was nice!",18-Aug-20
IrishWanderlust96,Interesting Place,40,The monastery is very nice and has a fantastic collection of religious artefacts. The chapel and frescoes are also very nice - it is well worth seeing when you’re on Patmos.,23-Jul-18
IsabelaC133,Disappoint !!!,10,Originally was only a cave. Now a small church is over the cave.  Not much to be seen unless you are a very religious person.  Overall the island was a big disappointment also.,27-May-13
isdn4u,Worth the Ride Up the Hill,40,The Monastery of St John actually turned out to be more interesting than we expected. We took a taxi up. No real need for a tour. It's a short ride that included a stop at the cavern where John wrote Revelations. Nice little village on top... a lot of steps that seemingly go upward forever. But the monastery is beautiful and peaceful. Nice views of the Med from on top as well.,15-May-17
Ismetser,Must see,50,When in patmos you must see this place because there isn't much to do here. It is a very beautiful place. They have great little shops. Do not forget to put decent cloths on,4-Jun-16
Jaya04,a place to meditate,50,the history of this place is wonderful.. .and we loved how the cave has turned into more beautiful buildings,10-Jun-13
Jeanne J,charming hill top monastery and museum,50,"Very picturesque, great views. Fascinating small museum. We were there during services and were able to observe from the back the orthodox celebrations. The museum is small but very interesting.",31-Mar-18
JEFFREY S,Incredible Experience,50,"Dominating the peak of Patmos, the Monastery of Saint John is incredible. On an island as small as Patmos, all roads lead to the Monastery. Once you arrive, there is an excellent patio restaurant to the right, and the path to the Monastery to the left. Ancient stone stairs lead the way to courtyards, small shops and a delicious bakery. Homes surround the Monastery, accessed by stone paths are ancient and beautifully kept.    The Monastery has posted hours, strictly enforced as it is primarily a Monastery and secondarily a UNESCO Heritage Site. Again as an active Monastery, monks live on the premises. Appropriate dress and behavior are expected. No photos are allowed in the Church or museum.    That being said, it is an incredible experience. Having weathered the political and international changes, the Monastery reflects the history of Greece as well as the Greek Orthodox faith. It is advisable to read up on the history of Greece under the Turks, Venetians, the Ottoman Empire as well as other visitors to Greece to appreciate the Church and museums artifacts.    Take your time, enjoy, and check the scheduled hours.",20-Jul-17
Jewelsworld,Do not miss the museum!!! Astounding collection.,40,"Seeing the working monastery, especially the museum, was almost worth the incredibly scary boat ride over from Kusadasi. I’d recommend waiting for ferry season. We went in April and had to contract with a tiny rattle-trap of a rickety boat that listed left the entire trip and then was swamped most of the way back to Kusadasi. So glad I don’t suffer from motion sickness but that was not true for most of our little group. I’m thinking that if the ride had been that rough going to Patmos, we’d all still be there because nobody would have risked getting on that boat again. Anyway, that being said, the monastery is pretty incredible. Especially the museum. It contains some religious artifacts such as the Purple codex, an el Greco painting and a 15th century icon by Andreas Ritzos. Quite incredible collection. Once done at the monastery, the views of the Aegean and Patmos from just outside the doors are stunning.",19-May-19
JimL_120612,Almost magical!,50,"St. John's Monastery in Chora had somewhat of a magical feel to it. The tour itself wasn't all that long and you couldn't see much of the Monastery, but there's such a calm and peaceful energy about this place. You can walk around the town of Chora, visit some of the shops, check out the local artists (incredibly talented by the way), eat some fantastic food and drink some great wine, no matter where you are in Chora and around the Monastery, it's just peaceful. There some pretty amazing views and the architecture is like none other. We spent some time conversing with one of the monks as he blessed a prayer cloth for us. People are amazingly friendly. We met a local artist who produced phenomenal pieces. She took us up the road a bit to a great restaurant with fantastic views with the nicest owners who talked to us about local history, etc. It was honestly my favorite place on our honeymoon visit.",8-Oct-13
JLRNorfolk,The newly built entrance makes visiting easier,50,I've been here many times just to sit in the peace of the cave. A true piece of history that still has an impact on life today. Well worth a visit.,11-Sep-16
joelizSanFrancisco,unique,50,"fresco, icons, galore.  this is a must see when in patmos, also do not miss the museum with some of the oldest religious books, notably the purple codex,  very rare to see.",19-Jun-15
Johnsid1,Worth the Visit,50,The monastery is dedicated to Apostle John who wrote the Book of Revelation.  There's a church and a museum. It's located in the town of Chora (Hora) which is very picturesque and worth spending a least a few hours to roam around its narrow cobble stoned streets.,21-Oct-15
Jose T,Mandatory ride,50,"A special greek shrine in a great location, with an astonishing landscape of the island. The 11th century venue is impressive, with 10 chapels and an inspiring St John's icon.",8-Oct-17
jpapa4444,Interesting place to visit,40,It was nice to go up and see it. Very interesting site. We didn't go with a tour so you may learn quite a bit more if you do join a tour. You should get a drive to get you closer to the location unless you want to go for quite a walk.,6-Jun-17
KajL_12,The fine and remote location make this tempting,50,"Who ever visits Patmos, should also visit this monastery. Here is a lot of the ancient history of europe, and the western world entangled and collected in one and the same place. And one of the corner stones of Christianity.",7-Sep-17
Kameel M,The Museum is Worth a Visit,50,"This monastery has a commanding view of the island of Patmos; a grand Orthodox chapel. I enjoyed the museum, which had a 6th century Bible manuscript, other interesting paraphernalia including documents from Ottoman sultans Mehmet II & Suleiman the Magnificent. Definitely worth a visit.",5-Nov-14
Karen M,"fab views, a must see, amazing",40,"fab views across the windmills and around the island, a must see, amazing, moving experience, Patmos has not changed in 30yrs since my last visit",15-Jul-17
KarumbaSantaFe,Impressive fortress,40,"The Monastery is a huge complex but only a small portion is open for viewing. No photos inside the church. You can only enter one of the 10 chapels. Many of the frescos are in poor shape but they are still a beautiful sight. Mostly, it is wandering through the open courtyards and admiring the architecture and the views of the island. There is a gift store. There is an entrance fee of a couple Euros. Dress appropriately or borrow the clothing from the hangers. You can take a taxi to Chora or a tour package.You have to walk from the dropoff point to the MOnastery which includes many steps. You wander through the town of Chora to get to the Monastery and there are numerous shops/restaurants along the way. We walked from the town of Skala some of which was on the road and some on a cobbled path. The path takes you also to the cave of the apocalypse.",28-Sep-15
Kate S,Excellent museum,50,"It's a very impressive building with an excellent museum.  Bus ride from Skala 1.50 Euro,  If doing the Cave of the Apocalypse as well, ride the bus here first, then walk down.  Only open mornings.",17-May-13
KawanaTravellers,Awe inspiring,50,"The monastery is beautiful, from the outside it looks like a fortress; however the interior is just amazing. The frescos are really well preserved.  Take the time to sit in the church on your own, it is a lovely experience.  The small museum is incredible, especially the original El Greco.  Wear comfortable shoes & take a bottle of drinking water with you.",11-Sep-16
Ken H,Highlight of our Greece trip,50,Well worth the trip! Loved walking around the narrow streets and enjoying the views.Could have spent many more hours here. A must when on Patmos!,29-Oct-15
ken j,Helps to understand Bible,40,"Interesting place to see and help understand the life and letters of the apostle John. Museum is good, especially the manuscript from the 4th century.",21-Aug-16
KennO555,An Historic and Sacred Place,50,"We very much enjoyed touring this historic complex. It houses some impressive treasures, but the best part of a trip here is witnessing the rituals and the lighting of candles (the only source of lighting in certain sanctuary areas. Beware of the surly cat in the courtyard.    Note: Dress appropriately or you will be provided something to cover yourself.",18-Sep-14
Kentucky526,Still a monastery where Monks live,50,It is a working monastery. There are priest that still live there and an area where there are ancient pieces and scripts. They said a script of Mark but Greeks have a story for everything. it is interesting.,29-Mar-19
kerryA899,Great views,40,We cycled from town to the monastery and we were unprepared for the steep climb to the top. After recovering we enjoyed the spectacular views towards the coast and then the nice roll back to the town. Worth a visit if you are in Patmos,20-Sep-15
kfifane,Beautiful mystical place,50,"One of the most mystical monasteries I have seen. Beautiful.  There is the mainchurch, other chapels. the Museum. You must visit the Monastery of Saint John established by the monk Saint Christodoulos and of course the Apocalypse Cave where Saint John evangelist received the revelation.",6-Oct-16
kimf992,Monastery,30,"Cool building. No a good place to see if you have difficulty walking. Must able to climb a significant hill with uneven pavement, steps and depending on time of day poor lighting. Worth the climb if you physically can do it. Great place to take photos. Good view of the harbor and the famous windmills.",5-Nov-19
kisdeszk,The Monastery Museum is excellent,40,"I recommend to go to monastery from Scala by local bus (1.5e) and after visiting the great museum with interesting artefacts from even the 11. century you could walk to another must see in Patmos, the Cave of St. John. The distance between the monastery and Skala is about 3 km, and it's a worthwhile walking tour even for older and not really fit ones too.",13-May-16
Kiwirose65,Fulfilling,50,"A fantastic walk up the hill, stopping off a the cave on the way and being blessed with a service happening at that moment. The monastery was a wow fact in history",20-Aug-14
KLBTraveller,Must see,40,"With a strategic position overlooking Skala, the monastery beckons you to visit. Decided to walk the trail up the hill and is not too strenuous. You do not have access to very much once there but the accessible areas including the museum are enough to give one a sense of the place.",12-Nov-16
konstantinos274,Simply beautiful and moving,50,"What an incredible experience. A must do when visiting Patmos. The Monastery of Saint John the Theologian is such a reverend, peaceful and stunning place of worship. The museum within is incredible. The view incredible. A World Heritage listing destination that can't be missed.",31-Aug-17
KonstantinosTz,Do not miss it,50,Very impressive monastery do not miss to visit it. Before to enter to the monastery check the view it is great,25-Oct-15
konstantinosv52,A pass to the holy past,50,"You can feel the holiness all around the castle monastery. Just let your spirit to fly over the Aegean Sea, to chase the sun, to touch the hot stones, to get the vibes from historical people and facts.",31-Jul-16
kostass223,Good for one visit,30,"Nothing too special, I anticipated more, but I guess it is better that it is quiet and not ""too touristy"".  Go for a visit, it would be nice if you have a guide with you to explain some things, or do some research yourself.",5-Aug-20
KTOWNFAN,Absolutely Wonderful,50,The Monastery is visable from anywhere on the Island. A very Holy place. They have an incredible museum. A must visit.,25-Sep-18
LaikasMom,Built in 1081,50,"So much history and art, fantastic view of the island. Visited the cafe of the Apocalypse.  No wonder this island is protected by UNESCO",17-Oct-14
LaurelParker,"Another beautiful church with great views, but --",30,"I visited mainly for the supposed historical significance and the beauty of the art and architecture, not the association with St. John the Evangelist. Unfortunately, our guide was rabid on the subject. This site and St. John's cave will be most interesting to those who think of the visit as a pilgrimage. On the up side, there are some decent shops on the climb up hill.",15-Aug-15
leakeyswanlady,Truly an amazing experience.,50,"Visiting the grotto is an amazing experience. The steps down are wide and quite smooth with a good handrail. The area is not very large so it felt a little crowded but I didn't feel rushed to leave. No pictures inside and couldn't find any post cards to purchase. There is one of the interior on the ""19 photos from Patmos - Greece: series of connected post cards.",24-Feb-16
leoandlitsa,Great feeling!!,50,"We dont have words to describe this wonderful atmosphere this monastery has. Its unbelievable, we will definitely go back!",26-Sep-15
lindb,Nice views,30,"Monastery, but to be quite honest, nothing special. You are actually not able to see much of the monastery. Beautiful church, a museum, stunning views. In a beautiful white town Chora with a few shops, cafes and restaurants. View is here the thing.",8-Sep-13
liveoak33,Beautiful monastery,50,There are lots of stairs to reach the monastery. It is a beautiful place and the museum is full of interesting artifacts and old manuscripts. We had a wonderful guide which added so much to our visit. A guide is necessary to get the full benefit of a visit.,12-Aug-15
Lode V,Historical place with great museum,40,This is one the places you need to have visited on the island. Museum with some of the oldest bibles and artefacts I'd ever seen.,6-Oct-15
Lordprotector,A 'must' experience of Patmos,40,"Whether charged with religious zeal or not a visit to this monastery and museum are well worth while. The views - stunning & the library collection -outstanding. If you feel like a pilgrim or wish to share their experience, try approaching up the cobbled pedestrian avenue from Skala, camera in hand.",2-Aug-16
lucycan,Pretty cool,50,This monastery has a church that has some amazing frescoes. The museum is also very nice. Well worth the walk up!,1-Oct-17
MaiaM256,If you go to Patmos you can't miss this!,50,"A beautiful place even if you are not into history and/ or religion. The view alone, makes this place worth while. We took a taxi from the port taxi rank - takes around 5-10 minutes to drive up - then walked up a short narrow street to the monastery. Not extremely steep and quite short, but definitely not a stroll - would be a big struggle if you have mobility problems.    Nice little shops around, also a cafe with an amazing view.    In terms of the monastery, it takes around 1 hour to look around. There are outside spaces and also the inside museum part. All very fascinating. A working monastery, closed in the afternoon. Check opening times before you go.",7-Dec-15
Manuela L,Monastery of St. John / Patmos,50,"Proud monastery sit enthroned on a hill in Patmos since 9 centurys, with a fantastic landscape; The apostle Sant John lives here in exil and wrote the Apocalypse, his spirit revelation, duing 18 month; we visited his modest holy cave where he live; you must climb to the monastery, there is a nice white church with 5 bells overlooking the Agais.  Patmos is Jerusalem of the Agais.  The cave is a half room, 3,5 m in the mountain, filling with superb icones and shining chandeliers; During an earthquake, when Sant John had his Vision, the rock ceiling, roof, was splitting.",25-Aug-16
marcelvandenheuvel,A place for contemplation,50,"The monastery lies high upon Chora, dominating the island of Patmos. Last time we visited we walked up, the traditional ascent, this time we scootered. Although always busy with, by times, very irritating tourists we push you away to get their picture framed without you ‘spoiling’ it, it is still a place full of humanity. No matter what religion or not religious, it is a place to be quiet and think. Highly recommended.",15-Aug-18
Maria G,A wonderful monument,50,"The monastery is one of the most beautiful monuments of Patmos. Has also a museum that you should defenetly visit for its wonderful masterpieces. You will notice though that despite its bulk, the monastery will give you limited access to its rooms. Most beautiful during easter, where you can enjoy the liturgy outside, under the sky.",9-Nov-16
Maria M,Atmospheric,50,You should make it your goal to visit this monastery... It is very informative and calming experience that you'll always remember...,21-Jun-16
MariaM796,Sailing the Aegean with sailing boat Armida,50,"We arrived in Patmos at 13.25 after leaving Rhodes port at 8.30 am with the Dodecanisos Pride catamaran. . We chartered a 37 ft Hanse sailing boat named Armida provided with a skipper for 1 week . Saw St . John's monastry situated in Chora. viewed Patmos Skala.. Next day shopped our provisions and started our trip. First stop , only an hour away with a slight wind blowing was Marathi island swam out to shore , only 3 restaurants, and then headed for Arkious !/2 hr away. Lovely little island . Tiganakia was our next stop for swimming in beautiful crystal clear waters and fishing for our dinner. Slept at Lipsous. Morning after headed towards Leros , swimming in Bafouti bay and then for the night in Panteli. Slowly heading for Rhodes , stopped at Symi and finally Rhodes . Enjoyed our week ,sailing and swimming , had a terrific skipper who knew most of the beautiful little bays . I would highly recommend the Armida aegean sailing tours with skipper anytime.",6-Sep-13
marijansesvete,Exotic place,50,The monastety is impressive with its architecture and has a great view to the island and nearby Islanda.,3-Jul-18
Mark G,Historic site,50,The Monastery was worth the visit. It was beautiful full of historical artifacts. A tour group is not needed to enjoy the site.,2-Oct-14
Marlene5552015,Monastery in patmos,40,Extremely interesting objects and books on display. The building is a delight to walk through. Very atmospheric. It is still operating as a monastery and school of theology. To walk up is quite a trek in hot weather. Better getting the bus or a taxi.,16-May-15
MarSahMarSah,Visit the Monastery's Museum,50,"Visiting the Monastery's Museum is a must. You get to see a 1.500 year old book, an original edict signed in red by a Byzantine Emperor a thousand years ago, an original edict by Charlemagne. You will surprised to see in the newer books of the Museum's collection, which are only 500 years old, that five hundred years ago the monks were studying Homer, and Plato and even the ancient comedies.",22-Oct-15
Merve T,Interesting,40,You can still feel the atmosphere of the past. the place is located in hora appx 4 to 5 km up to the hills. You can have a taxi which costs 7 to 9 eur or you can waut for the bus which will be 1.5 eur. A must see in patmos beside beaches.,7-Jul-16
Michael M,Great monastery to visit,50,A large monastery with a lot of stairs to climb to arrive to; great view from on top of the island; the family enjoyed the visit,14-Aug-18
Michael2810,Worth a visit...,40,"You cannot miss this monastery high on the hill overlooking Skala. It still has monks there but it is interesting having a look around and particularly going into the small museum they have there. Just be wary of the opening times. It is open from 8:00am - 1:30pm every day but is closed in the afternoon on Sunday, Monday, Wednesday and Friday and open from 4pm - 6 or 7 pm on the other afternoons.",21-Jun-15
Mi-Dan20,Worth the Visit,50,"Well worth the visit, interesting and inspiring, lots of relics, exquisite frescoes, religious art, the treasury and the museum are worth the visit. Lots of steps as built as a fortress, yet worth the visit to be at the site where it is said St. John wrote the gospel and received the visions of the last book of the New Testament.",23-May-14
Mina P,Fantastic crown on Patmos capital Chora,50,"No vehicles are allowed in Chora. So, if you take a bus from the port, you'll walk enough uphill from the bus stop to the Monastery. If you have your own car, you must arrive very early to find a parking place on the hill, otherwise you'll be obliged to park your car very far away from the Monastery. Take care NOT to park on the bus parking area, otherwise you'll face a very big problem.  You must be decently dressed with shoulders and knees covered.  Founded by St.Christodoulos in 1088, after the Byzantine Emperor Alexios I.Komninos gave him as a gift the whole island of Patmos, the monastery looks like a Byzantine castle. From that period only some pieces on the floor are authentic together with some pillars.  The monastery's height is 15m. Above the main entrance there is a small opening from where the monks poured hot oil or water on the pirates or other intruders. It's called ""the murderer""!  The inner courtyard is covered with pebbles and stones. Next to it the main church, where no photos are allowed. The highlight is a wooden iconostasis since 1820, hand made by 12 sculptors from Chios island.  Outside the church there is a stone wine basin and four arches above the courtyard. There are 7 different chapels inside the monastery area and another 3 outside its walls. On first floor what's left from an old stone oven and a wooden trough for the bread dough. Next to the oven there is a museum with a collection of old icons, original Bible manuscripts, priests robes, etc. Photographs are allowed in the Museum.  The view towards the port and generally Patmos island is really unforgettable.",21-Jul-19
Moa S,Stunning!,50,This is a must see if you are in Patmos!! Lovely temple allowing you to walk around among the priests in this stunning setting!,13-Sep-17
moosemanOU,Pretty cool,50,Slightly creepy but meat to see the cave where church tradition says John wrote Revelation. Weird that no pictures are allowed but still worth going to see!!,25-Jun-16
mountaintrekker1234,Must go to the Monastery,50,"The Monastery is a must to see and it is hard to miss. It sits atop the Island of Patmos, where the story goes that John the Theologician wrote the Book of Revelations. The Cave is important to see too.",8-Jul-17
MrPokey,Interesting and worthwhile visit,40,"Interesting site. Working monastery and museum with a well presented collection that is well captioned. Some superb individual items such as a tiny 1,000 year old icon and 1,500 year old ecclesiastical fabrics.",15-Jun-15
Muzzall,great to look at,30,impressive to look at from outside but once inside although theres some good historical bits theres not too much to do. was a bit disappointed by the inside. still is a must see. as a working monastery you can understand why only few bits are open,10-Sep-15
Myidea62,St. John woz ere,40,"Enjoy the history, told to be quiet, and not to talk loud.... 2 minutes later the same guy meets a friend and heard him chatting away 2 floors below... It's a chuch matey, practice what you Preach.......",4-Jun-15
Myra N,Interesting monastery,50,We went here a few times during our stay. Great views from the top over Scala. Lots of little shops and a good few wee tavernas there. Great lunch spot and dinner at sunset looking out to the windmills and sun setting. Easy to get taxi there and back as they are parked at bottom of monastery . We enjoyed our meal at sunset and would return again.,19-Jun-16
mzzlol,Yes another Must!,50,"See and feel where St John wrote the book of Revelations. This island itself offers beautiful views, but the monastery is a must.  This is a hefty hike and can not be done by everyone. If you have bad knees or feet you can make the hike it will just take you some time.",21-Sep-15
Nadide Mine M,very impressive,40,This is the place to be seen for sure. The whole place is full of wonderful points. The only problem is the visiting hours. They are very limited by the day and time.,9-Nov-18
Natlovestravel,Great place to visit,50,Must see during your Patmos visit. The view from there is beautiful. The monastery is pretty too. They have a very proud cat.,6-Aug-19
NatMcN,Brave monk stays open despite COVID,50,"I find this quite moving, that the head monk chose to stay open to tourists despite the threat of the virus to him and his elderly peers. Since they don’t charge admission, it’s not for the revenue. I’m grateful we could visit.",21-Aug-20
ninorobakidze,Just Beautiful <3,50,"Loved this place, you feel the breath of history, of sea and you feel the sun.  Absolutely beautiful place, with picturesque views on island.",26-Jun-17
NORMEDW,Hilltop views over Patmos.,40,"Arrived at Patmos from a cruise ship tender to the island and what a lovely setting the surrounding countryside has with coastal seashore and crystal clear waters and high hills upon which the monastery of St. John stands overlooking the town. We decided to try the local bus up to the monastery and this allowed us enough time to wander through the backstreet shops and parts of the town to get a feel for the place. Now if you try and get a bus in Greece then you will be aware that you don't tend to queue and rather push your way on and once the bus is full you go even ahead of schedule.  The cost per person is around 2 euros one way and takes about 25 minutes or so to drop you adjacent to the monastery / village around it and be sure to find out when the buses return. A steep climb is required through winding streets with cafes and little shops to reach the monastery but there is a reasonable amount of shade to be had from the buildings, although the streets are uneven underfoot. The monastery is well preserved and looked after and is free to visit but certain areas are not allowing photography at all. The views from both the monastery and certain viewpoints are stunning and a little cafe/restaurant we went to for a thirst quenching beer on our exit had as nice a panorama from it's terrace as you are likely to encounter. Worth a visit then and don't forget some walked up to the monastery from the town but in 32c we took the bus.",29-Sep-15
Norwegian_Fred,A must see,40,The monastery with its history and museum is a must whether you are christian or not is an amazing experience. Such a history.,3-Aug-14
Ofer B,Interesting museum.,50,The monastery is very nice to walk around and the small museum is very interesting especially the El Greco painting.,18-Sep-18
OriginalMurph,The view is worth the climb up.,40,"We did a bike ride around the island, starting with an assent of the hill that the Monastery is on. Since it was time for a break we decided to check it out; be warned that there is an admission charge (my receipt said 4E). The views from the front are spectacular, followed by a set of steps into the Monastery. Despite the foreboding posture like a fort at the top of the hill (since given when it was built everything needed to be built like a fort), it is actually pretty quaint inside. Nice courtyard opening into different sections, with lots of contrasting shadows.",26-Jul-13
OTR_Again_IM,Massive Monastery w/excellent Views,40,"This 11th century stone monastery was impressive even in the distance as we docked in port. At first it appears more like a massive Moorish fort sitting atop a high hill in Spain. The museum inside the monastery has some very ancient relics, beautifully decorated old manuscripts and Byzantine frescos. There were panoramic views of Patmos, our ship docked in the harbor and other far islands from the monastery. We also got some very good photos of the three functioning Patmos windmills with their very distinctive sails from the monastery's front steps. St. John's Cave of the Apocalypse is close by.",25-Oct-14
OTT12,A place you must visit!,50,"The monastery sits on top of Chora the capital of Patmos island and it is a must visit whether you are religious or not.  Dedicated to St. John who wrote the Book of Revelation is perhaps one of the most important monasteries in the Christian religion and also a very important Byzantine building and architecture.  You can take a bus or taxi to get to the top or even walk if you are fit and have the time.  As with all religious sights dress sensibly.  The entrance fee is modest and it also includes entrance into the museum which contains some of the most important artefacts and scriptures of the Eastern Church.  The Byzantine frescos are simply superb.  After the visit enjoy the view over the island and don't forget to have a walk around the picturesque streets of Chora.  You must not miss the monastery, it's a hugely moving experience.",31-Aug-13
PacoH_11,A fascinating contact with biblical history,40,It is very special to feel that we have touched the story if the bible and the book of revelations. Good visit,1-May-17
PacoH_11,Pilgrimage or not ...,50,"Whether you want to explore as a pilgrim to understand the story if St John the Evangelist, or simply to see how an ancient hermit lived and wrote Patmos is the place to do so.",9-Sep-15
PamC54,Lots of history and icons,40,This was a well preserved monastery which was founded in 1088. Our tour guide was well informed and explained many things about the chapel and the museum which made it interesting.  There is a very old manuscript (6th century AD) of the book of Job in the museum.,7-Oct-16
PAnne2016,Okay,30,"A bit disappointing, in that one doesn't get to see much of the monastery itself. However, the museum has some very interesting items, so that part was good, if you like history.",8-Jun-18
Paul O,Truly an unforgettable experience,50,This is one of those very special places where your mind needs to capture all the images set before you since no photography is allowed in the chapel. The chapel could only hold about a dozen and a half people and was a very intimate space but just as majestic as the Vatican. I will always remember the details of the carvings; the dark ceilings stained by centuries of incense and the paintings depicting scenes from the Bible. It was definitely a high point of our trip to the Aegean and the island of Patmos,17-Oct-15
Paul141,Very nice,40,"We caught the bus up, and walked back down. Very nice place with massive views. Little stone streets surrounding easy to get lost in.",6-Aug-17
Peter G,Church service and patmos island,50,I was lucky enough to take part in a church service in September 2015 and it was the most amazing experience of my life. I am greek orthodox so that helps obviously. Some of the rooms kept private from the masses were very special to see with my own eyes. During that particular service we arrived at 7am in the morning and were greeted by 4 monks hitting a very long plank of wood that was used to denote the start of the liturgy and to summons people to prayer (I snapped a picture). A beautiful practice to experience.,11-Jan-16
Peteski2016,Beautiful World Heritage site that dominates Patmos,50,This is a must do in Patmos - you must get to this world heritage site. The view is amazing and there are restaurants and coffee shops where you can stop before or after your visit. We took a bus from town - cab available as well - and enjoyed the walk down. Beautiful view. Lots of history and stories here - museum is excellent. This is a living working monastery so dress with respect. We saw someone getting told off. No pictures inside. Amazing.,2-Oct-17
Petros H,"Quite a nice place, seen much better",40,"Architecture and ikones quite interesting. The place it was initially built as a fortress at the top of the island's highest rock, makes it more interesting. Beautiful views.",14-May-19
Pnoy65,Visiting Hours of the Monastery @ Patmos,40,"The monastery is located on top of the hill accessed by riding a cab, bus, or walk - actually saw some tourists walking up and down the hill. If you have the time waiting (1 - 2 hours) for the bus, fare is 1.50 euro while the cab round trip fare is 30 euro (I could have gotten for 20 euros). Don't forget your camera. Building is impressive, The view from the top looking down is superb, too! Inside the museum are original books - I consider priceless, especially the Book of Job (no cameras allowed).",10-Jun-13
quasimodo43,"Christian or not, the Monastery & the Cave of the Apocalypse are unmissable.",50,"I suggest taking the bus from Skala up to Hora (1.5 euro) visiting the monastery and then taking the downhill 4 km. Byzantine pilgrim's trail back to Skala which passes St. John's Cave of the Apocalypse. Whether you're a Christian or not, both are unmissable, but keep in mind that you'll need to be reasonably fit.  The fortified monastery allows spectacular views over the island and the museum library houses some truly beautiful and rare manuscripts/icons/liturgical robes/jewelled chalices and a great deal more. The Cave of the Apocalypse, where St. John is reputed to have written the Book of Revelation, is downhill a kilometre or so and is a place of reverence and wonder - even for this atheist. Entry to both is very reasonable and helps towards their maintenance. Tip: please respect the ""no photo"" request, The Cave of the Apocalypse is particularly vulnerable to flashlight and the noise of digital cameras.",27-Sep-14
RachaelVW,It's a beautiful place!,50,"If you are lucky enough to be sailing around the Greek Isles or just lucky enough to be visiting Patmos, take the time to tour the monastery. It's fascinating in all sorts of ways that include history, art and religion.",28-Jul-16
RAMWashington,Worth a visit!,50,"The monastery and the cave were the two main reasons we came to Patmos. The monastery was beautiful and had a nice museum. While we were there, one of the priests stopped by and said to my wife: ""You look very peaceful and happy."" She replied, ""I am.""    He stayed talking with us for quite a while, telling us some about his past and about his philosophies. Very interesting!",1-Nov-13
RealEstateScorecard,Step back in time,40,So glad chose to visit the monastery. One can't help but be in awe of the significance of this holy place surrounded by a quaint village. The museum inside holds priceless artifacts. The entrance cost is minimal - 4 euros. Cats roam the streets. There are a couple cafes and shops within the monastery walls to explore. We took the local bus from the port which costs 3 euros each and caught a taxi back down for 10 euros.,24-Jun-16
RichardK938,Most Important Monastery,50,"Make the trek up the hill to see this monastery dedicated to St. John. it has a very ornate orthodox church, a courtyard, monks quarters and stunning views of Patmos Island and the surrounding islands. Get a guide because there is not other way to appreciate the importance of this place while walking through it",29-Oct-17
riseparkpair,Stunning,50,"Just 4 euros, and the monastery is well worth it. Spectacular views also, as it is on the highest point on the island. A "" must see "" is the museum. Artefacts from centuries ago, beautifully displayed. One tip, if driving, car parking can be a problem. Skala bus takes you there in a few minutes. Taxi 8 euros.",10-Jul-19
